synonym,decision,note
sea,non_host_source,Post-audit correction 2026-04-30: ambiguous marine/source word was over-mapped to a Lepidoptera genus; keep out of Host_SD unless manually curated with stronger context.
sea water,non_host_source,Post-audit correction 2026-04-30: marine water/source material, not host.
seawater,non_host_source,Post-audit correction 2026-04-30: marine water/source material, not host.
deep sea water,non_host_source,Post-audit correction 2026-04-30: marine water/source material, not host.
deep-sea water,non_host_source,Post-audit correction 2026-04-30: marine water/source material, not host.
brackish water,non_host_source,Post-audit correction 2026-04-30: water/source material, not host.
baltic sea water,non_host_source,Post-audit correction 2026-04-30: marine water/source material, not host.
sewage plant,non_host_source,Post-audit correction 2026-04-30: wastewater facility/source context, not host.
bacteria culture,non_host_source,Post-audit correction 2026-04-30: microbial culture descriptor, not host.
bacterial culture,non_host_source,Post-audit correction 2026-04-30: microbial culture descriptor, not host.
microbial culture,non_host_source,Post-audit correction 2026-04-30: microbial culture descriptor, not host.
"N. Ennis, Tisa lab UNH",non_host_source,AI reviewed approve_blank: Looks like person/institution/lab descriptor rather than biological host.
Instituto de Productos Lacteos de Asturias (IPLA)-CSIC,non_host_source,AI reviewed approve_blank: Looks like person/institution/lab descriptor rather than biological host.
Chiu-Chung Young,non_host_source,AI reviewed approve_blank: Looks like person/institution/lab descriptor rather than biological host.
Pickle,non_host_source,AI reviewed apply_only_if_host_empty: Non-host/source material; safe only when not overwriting a real Host_SD.
Sand Borer,non_host_source,AI reviewed apply_only_if_host_empty: Non-host/source material; safe only when not overwriting a real Host_SD.
deep-sea sediments,non_host_source,AI reviewed apply_only_if_host_empty: Non-host/source material; safe only when not overwriting a real Host_SD.
Dove (unknown),not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
lake,non_host_source,AI reviewed apply_only_if_host_empty: Non-host/source material; safe only when not overwriting a real Host_SD.
Hanbang bio lab,non_host_source,AI reviewed approve_blank: Looks like person/institution/lab descriptor rather than biological host.
laboratory of anaerobic microorganisms,non_host_source,AI reviewed approve_blank: Looks like person/institution/lab descriptor rather than biological host.
Laboratory of Bionanotechnology,non_host_source,AI reviewed approve_blank: Looks like person/institution/lab descriptor rather than biological host.
"LBBMA, Federal University of Vicosa",non_host_source,AI reviewed approve_blank: Looks like person/institution/lab descriptor rather than biological host.
"Amity Institute of Biotechnology, Rajasthan",non_host_source,AI reviewed approve_blank: Looks like person/institution/lab descriptor rather than biological host.
Grown in Campylobacter selective agar.,non_host_source,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
"Molecular Diagnostics Laboratory, Research Center of Biotechnology of the Russian Academy of Sciences",non_host_source,AI reviewed approve_blank: Looks like person/institution/lab descriptor rather than biological host.
Psitacine (unknown),not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
Lab-generated mutant 1,non_host_source,AI reviewed approve_blank: Looks like person/institution/lab descriptor rather than biological host.
clostridium,non_host_source,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
Dr. Ting Zhou Lab,non_host_source,AI reviewed approve_blank: Looks like person/institution/lab descriptor rather than biological host.
0,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
1009,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
1591,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
104,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
1589,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
275,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
251,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
355,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
245,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
313,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
236,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
291,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
429,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
260,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
341,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
266,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
314,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
253,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
435,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
15,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
1010,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
1013,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
384,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
112,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
1592,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
829,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
841,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
854,not_identifiable,AI reviewed approve_blank: Safe to blank/mark non-host or missing.
